id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
652c5a960de83044,"""
The addition was a """"wikipedia situation where a fair use image shouldn't be used"""", not a """"Counterexample showing what fair-use is not"""", as the section is. """,0,0,0,0,0,0
652c7c86f51fcaf4,I have the reference listed at the head of the table in .pdf.  It is a published paper.  It does not have the points listed in the table.  There is no other reference by or near the table that tells where the info came from.  69.146.93.138,0,0,0,0,0,0
6535fb5798f0d9c6,"?
 What is a Juliancolton'''''",0,0,0,0,0,0
65373ddbf45c9182,"If you were, in fact, planning to appeal your block, or respond to my latest offer, feel free to do so here. You had removed Fyunck's 3RR warning to you from your talk page as 'harassment,' which suggested to me that you were unlikely to negotiate. You had already broken 3RR at Margaret Court by the time he gave you the warning, but if you had made any kind of positive reply to his message, it is unlikely that any action would have been taken against you at the 3RR board.",0,0,0,0,0,0
65379b22e299b41b,"""
Use of New Template
I have created a template {{WikiProject Maryland/flag/animated}} using a commons image that could be used on the front page of the Maryland project. As you can see, I have configured it to fly behind the wiki-puzzle-world logo in the upper left portion of the screen.  I will leave it there for a couple of days and invite your comments as to whether we should use it on our front page, or not.«» «reply» 
Please leave Support or Oppose comments here:""",0,0,0,0,0,0
6538015fde4c1090,"Deaths in the White House 

Does anyone else think this information would make a good addition to the article? 11 people have died in the White House.

1840: Rebecca Van Buren (President Martin Van Buren's granddaughter)
1841: William Henry Harrison (President)
1842: Letitia Christian Tyler (First Lady, wife of President John Tyler)
1850: Zachary Taylor (President)
1862: William Lincoln (Son of President Abraham Lincoln)
1873: Frederick Dent (Father-in-law of President Ulysses S. Grant)
1883: Elisha Allen (Congressman)
1892: Caroline Harrison (First Lady, wife of President Benjamin Harrison)
1892: John Witherspoon Scott (Father-in-law of President Benjamin Harrison)
1914: Ellen Wilson (First Lady, wife of President Woodrow Wilson)
1952: Margaret Elizabeth Gates (Mother-in-law of President Dwight Eisenhower)",0,0,0,0,0,0
653b2881cb7f9ab4,"I'd not call The Dark Knight, more like a crime drama. It had action scenes, but not that many.",0,0,0,0,0,0
653cbbe5093d3a44,"So this came up already a few months ago? If there was an SPI page, per usual process, there wouldn't be such questioning of it.",0,0,0,0,0,0
653f73701c0aac4c,See United States nationality law#Nationals who are not citizens.   (talk) (earlier Boracay Bill),0,0,0,0,0,0
654269c1836342e5,"""
I wasn't trying to be bad, honest.  I was just putting in a few hours at the Reference Desk the other day when I noticed all the commotion at AN/I about Rlevse and his antics.  I keep telling myself I don't care about the """"project"""" anymore but every time I see discussions AN/I degenerating into proverbial pigfucks, I feel they're calling my name, like Tom Joad.  SOMEONE needs to show up and berate the participants.    

""",0,0,0,0,0,0
6546e840b5174598,If you have a chance to read this you should instead of acting like a dick...i have faith that you can do this...the easiest way...stop acting like a dick and BTW happy new year to you.,1,0,1,0,1,0
65519d7885be689f,"""
Ryan, these people are not worth your time.
JC37's labeling of my amendment as """"disruptive"""", David Levy's labeling of my restoring the number to my comment as """"disruptive""""-these are examples of the Courcelles school of misuse of """"disruptive""""-disruption being a blocking offense with a meaning codified by policy, rather than a label things that we don't like (or even bad or dumb).
I won't even ask whether the blocking administrator ever bothered to admonish his fellow administrators for threatening me with blocking over """"disruption"""" or for heavy-handed and biased refactoring of the discussion.
Just ignore his statement about blocking 101. He's not worth your time. .Wolfowitz """,0,0,0,0,0,0
65568521ba32bcfd,"Image

The image has been put up with permission there is no copyright violation",0,0,0,0,0,0
6557c78a32dede94,"You can go much higher than that, but we have to keep the normal range in mind. ¦",0,0,0,0,0,0
655ae10acb64f9ef,"Please Daniel could you post messages to CelticGreen and Irishlass and tell them how sorry I am for being a thorn in their sides and for using words that I am not too proud of. I would post it to them myself, but I can't since I am blocked.",0,0,0,0,0,0
655f08e6cafd46d6,Nice; I did not know we had a template for that.  Talk,0,0,0,0,0,0
6560417d46e8077d,"Goody/Tweed surname change 

I have changed it twice now, back from Tweed to Goody. Until we know whether she has changed her name to Tweed, it has to stay as Goody. It is likely that she will change it, but we really do not know at this point and getting married does not automatically change a person's name. Could we please leave the article title and all references throughout as Goody until we know anything further? Thanks.",0,0,0,0,0,0
65689043b972e019,"""
 Editor TheRedPenOfDoom is not a """"Mod"""" or an administrator on Wikipedia. He has no special privileges or abilities that you don't have. He simply believes that behaving like an administrator will generate the perception of power he requires to intimidate and bully other editors. Don't take his shit, because he's absolutely full of it. ''''Let's talk about it """,1,0,0,0,0,0
656d2865675b80e2,"Equally logically, please send me a £20 postal order, or I will take it as a personal attack.",0,0,0,0,0,0
656e51f240ad8958,"Hi,

Liked your work on Alexis Arquette. I am eager to achieve an encyclopedic treatment of the subject while not angering LGBT lobbyists. -",0,0,0,0,0,0
65767f7e5d35b881,You little bitch ass Wikipedia nerd.,1,0,1,0,1,0
657a7b2a2fc0279f,"This message is regarding the page Paul Allen. Please refrain from adding nonsense to Wikipedia.  It is considered vandalism.  If you would like to experiment, use the sandbox. — talk",0,0,0,0,0,0
657bdb4dcaa81102,"I'm in a school you bitch fuck. I have like 20 computers. If you want a war you spic, you've got it.",1,0,1,0,1,0
6580f11a329c8b5e,"fixed a number of errors 

There were a number of errors in the article, where, in spite of linking to articles, whoever wrote it misquoted the article and published things that were quite simply false.  I corrected them, giving the article a more neutral and more accurate tone.  You can see my changes in the history.  There shouldn't be any need for more edits until the decision is made on 11 September, unless we want to get more detailed. 123.2.223.96",0,0,0,0,0,0
6592a3f7ec80308c,"""== Titles ==
Hola!

Friendly reminder: TITLES: album, film, book, etc. are always ITALICIZED.../ song, chapter, are in """"quotation marks"""".....per: 

Wikipedia:Manual of Style (titles)

Please check it out. ~   """,0,0,0,0,0,0
6594533b592664a9,", Maronite Christianity in Lebanon",0,0,0,0,0,0
659e9b10d7df5db7,Added some info from the Oxford Dictionary of National Biography.  The ODNB entry could probably be mined for more.,0,0,0,0,0,0
65a518eb1f209c12,"Your Conversion 

Are you a Muslim? If not, you should convert. Otherwise it is intolerant to make changes to any Muslim related page. I look forward to you converting to Islam. I forsee that you will marry a great Muslim man and make him happy. Only then will you be free from chains of oppression. Saduj al-Dahij",0,0,0,0,0,0
65a79eb69ec4936b,"Another RfC on naming 

Please see the further RfC here.",0,0,0,0,0,0
65b3198227ef9dac,"""Bucharest Corporate Center is an article about a tall building in Bucharest not a company or corporation. 1987 """,0,0,0,0,0,0
65b75d7e073ff691,"Image:Aerotow_launch_MGC.jpg listed for deletion 
An image or media file that you uploaded or altered, Image:Aerotow_launch_MGC.jpg, has been listed at Wikipedia:Images and media for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted.   talk",0,0,0,0,0,0
65baad1a473a3518,"Europhiles cannot silence 

Europhiles cannot silence the will of the people. The truth will out about the big EU rip off. The peoples of Europe will not want another dictorial bureaucracy. You are an agent of the EU, making sure people do not hear the truth. Whats not heard is not questioned afterall. The EU will die a death just like the USSR, the Third Reich and any other supernational state dream.

LONG LIVE FREE, DEMOCRATIC NATION STATES!",0,0,0,0,0,0
65c45c8609984d81,"No, here in the North of England we are such a bunch of degraded beings that we murder animals for amusement before each rugby game. Wake up.",0,0,0,0,0,0
65c55104afd32b78,"""|rajasthan=yes|rajasthan-importance=}}

WP:INDIA Banner/Rajasthan workgroup Addition 

Note:  Project Banner with Rajasthan workgroup parameters was added to this article talk page because the article  falls under Category:Rajasthan or its subcategories. Should you feel this addition is inappropriate , please undo my changes and update/remove the relavent categories to the article      (Wanna Talk?)   - """,0,0,0,0,0,0
65c6f14e7acb3495,"""

 @  You stated: """"Users do not get blocked for content disputes;"""" FYI: They do: WP:3RR You stated on the Bitcoin Talk Page: """"Users do not get blocked for content disputes;"""" FYI:They do: WP:3RRThe three-revert rule[edit]Shortcut:WP:3RREditors who engage in edit warring are liable to be BLOCKED from editing to prevent further disruption. While any edit warring may lead to sanctions, there is a bright-line rule called the three-revert rule (3RR), the violation of which often leads to a BLOCK.The three-revert rule states:An editor must not perform more than three reverts on a single page—whether involving the same or different material—within a 24-hour period. An edit or a series of consecutive edits that undoes other editors' actions—whether in whole or in part—counts as a revert. Violations of the rule normally attract BLOCKS of at least 24 hours. Any appearance of gaming the system by reverting a fourth time just outside the 24-hour slot is likely to be treated as an edit-warring violation. See below for exemptions.A """"page"""" means any page on Wikipedia, including talk and project space. A """"revert"""" means any edit (or administrative action) that reverses the actions of other editors, in whole or in part, whether involving the same or different material. A series of consecutive saved revert edits by one user with no intervening edits by another user counts as one revert.The three-revert rule applies per person, not per account; reverts made by multiple accounts operated by one editor count together. Editors violating 3RR will usually be BLOCKED for 24 hours for a first incident. Even without a 3RR violation, an administrator may still act if they believe a user's behavior constitutes edit warring, and any user may report edit warring with or without 3RR being breached. The rule is not an entitlement to revert a page a specific number of times.
If an editor violates 3RR by mistake, they should reverse their own most recent reversion. Administrators may take this into account and decide not to BLOCK in such cases—for example if the user is not a habitual edit warrior and is genuinely trying to rectify their own mistake.""""  """,0,0,0,0,0,0
65c94b1b4661a252,"Attack LOL! 

Please don't attack?  Please.  What Neil did was worse than any attack I could have possibly made you liberal douchebag.  Go stick your finger up your own ahole, (which I'm sure you do daily anyway) you nerd.",1,0,1,0,1,0
65cb1b57cb955175,"Jack, Marion's last revert restored only the material supported by a consensus on the discussion page, not the original research that Petra objected to. She wasn't edit warring. ''''''",0,0,0,0,0,0
65d013ed29f53181,"""
The prohibition is for """"all anonymous IP editors and accounts with less 500 edits and 30 days tenure"""" not """"500 edits OR 30 days tenure"""". Both the criteria of less than 500 edits and 30 days tenure needs to be met for the prohibition to apply, as the editor has been active since 13 November 2013, this prohibition doesn't apply to them.   """,0,0,0,0,0,0
65d32aaf11f82569,"""
Thank you for the message. I haven't been active on Wikipedia lately, but I really hope to get the list back for FA sometime.  (☎ • ✎) """,0,0,0,0,0,0
